100000,21981357
200000,985804
300000,1138880
400000,831755
500000,999701
600000,1435406
700000,2728380
800000,2258810
900000,1915048
1000000,2309625
1100000,2474705
1200000,2565884
1300000,2840224
1400000,2923665
1500000,3486864
1600000,4681908
1700000,3508110
1800000,3859809
1900000,3840322
2000000,4343906
2100000,4498243
2200000,4798479
2300000,4669184
2400000,4810090
2500000,4886170
2600000,5095998
2700000,5162138
2800000,5104497
2900000,5656623
3000000,6117191
3100000,6741536
3200000,6313702
3300000,6548830
3400000,6510907
3500000,6839778
3600000,6829151
3700000,7334615
3800000,7014676
3900000,7788609
4000000,7706947
4100000,8097759
4200000,7941356
4300000,8243099
4400000,8351618
4500000,8691194
4600000,9879309
4700000,9794662
4800000,9364375
4900000,9562161
5000000,9498196
5100000,9709690
5200000,9850613
5300000,9990890
5400000,10196633
5500000,10132897
5600000,10663140
5700000,10499645
5800000,11136583
5900000,11384058
6000000,10959653
6100000,11064866
6200000,11290588
6300000,11380189
6400000,11398707
6500000,11699916
6600000,12333945
6700000,12510396
6800000,13114434
6900000,12714897
7000000,12547397
7100000,12633583
7200000,12842848
7300000,12911201
7400000,13371204
7500000,13811055
7600000,13719455
7700000,13597184
7800000,13845968
7900000,13861107
8000000,14099014
8100000,14303432
8200000,20787744
8300000,21126436
8400000,21168703
8500000,21584005
8600000,21653359
8700000,21904860
8800000,22224956
8900000,22686623
9000000,22554476
9100000,22917021
9200000,23129082
9300000,23027913
9400000,23491829
9500000,23741224
9600000,24010495
9700000,24494732
9800000,24749319
9900000,24832072
10000000,25186782
10100000,25349982
10200000,25591587
10300000,25910410
10400000,25904387
10500000,26499314
10600000,26463511
10700000,26737780
10800000,27113737
10900000,27055551
11000000,27456247
11100000,27769367
11200000,28082545
11300000,28108441
11400000,28541774
11500000,28788870
11600000,28822165
11700000,29238275
11800000,29241222
11900000,29701574
12000000,30094566
12100000,30148634
12200000,30305800
12300000,30698570
12400000,30915015
12500000,31240437
12600000,31175835
12700000,31634726
12800000,31770609
12900000,32221994
13000000,32125314
13100000,32721537
13200000,32778739
13300000,33193464
13400000,33297355
13500000,33793269
13600000,33727716
13700000,34065183
13800000,34214384
13900000,34759958
14000000,34914121
14100000,34991861
14200000,35125411
14300000,35404301
14400000,35847424
14500000,36065308
14600000,36248279
14700000,36338420
14800000,36596677
14900000,36736874
15000000,37109583
15100000,37562215
15200000,37576641
15300000,37839817
15400000,38258704
15500000,38566687
15600000,38790608
15700000,39068387
15800000,39037614
15900000,39398597
16000000,40982011
16100000,40477343
16200000,40101998
16300000,41239346
16400000,40919151
16500000,41529684
16600000,41689592
16700000,41943094
16800000,42232970
16900000,41983098
17000000,42979470
17100000,43123359
17200000,43002375
17300000,43282970
17400000,43538563
17500000,43935673
17600000,44105385
17700000,44315903
17800000,44518254
17900000,44846853
18000000,45179111
18100000,45337940
18200000,45372063
18300000,45690673
18400000,45696915
18500000,46331174
18600000,46708226
18700000,46054939
18800000,46669753
18900000,46396697
19000000,47237889
19100000,47314006
19200000,48577433
19300000,48437270
19400000,48193584
19500000,48586983
19600000,48830194
19700000,49439933
19800000,49653869
19900000,49954096
20000000,50124900
20100000,50345601
20200000,50548512
20300000,50903143
20400000,50716629
20500000,50569782
20600000,50562671
20700000,51167795
20800000,51395061
20900000,51524846
21000000,53142102
21100000,52445062
21200000,52562621
21300000,52659582
21400000,52882339
21500000,53127699
21600000,53285904
21700000,53623444
21800000,53799447
21900000,53762265
22000000,54214009
22100000,54355086
22200000,54666323
22300000,55020043
22400000,55035072
22500000,55378576
22600000,55451505
22700000,55712920
22800000,56097306
22900000,56542010
23000000,56911636
23100000,56604914
23200000,57360758
23300000,57378110
23400000,57566268
23500000,57735579
23600000,58299689
23700000,58155934
23800000,59592563
23900000,58886890
24000000,59182241
24100000,59196930
24200000,59324668
24300000,60102107
24400000,59881953
24500000,60385136
24600000,60776116
24700000,60912280
24800000,60870594
24900000,61985482
25000000,61606858
25100000,62018172
25200000,61947127
25300000,62075013
25400000,62778765
25500000,62705664
25600000,63028055
25700000,63150152
25800000,63626549
25900000,63513635
26000000,63736231
26100000,64377244
26200000,64555171
26300000,65029105
26400000,65230859
26500000,65490392
26600000,67454658
26700000,65939069
26800000,67824247
26900000,66750761
27000000,66941072
27100000,67511647
27200000,67641131
27300000,68384124
27400000,68102130
27500000,68185429
27600000,68017336
27700000,68129374
27800000,68584989
27900000,68473277
28000000,68881252
28100000,68878087
28200000,69366560
28300000,69979033
28400000,69644002
28500000,69978213
28600000,70483205
28700000,70918220
28800000,70802953
28900000,71433425
29000000,71256064
29100000,71684619
29200000,72339292
29300000,72518388
29400000,72437377
29500000,72627025
29600000,72888245
29700000,72944046
29800000,73348635
29900000,73560927
30000000,73842603
30100000,74205278
30200000,74658853
30300000,74513722
30400000,75284547
30500000,75534129
30600000,75588737
30700000,75797241
30800000,75806007
30900000,75910595
31000000,76251820
31100000,76486468
31200000,76666924
31300000,77069819
31400000,77340312
31500000,77340560
31600000,77579431
31700000,78093425
31800000,78099914
31900000,78300339
32000000,78594662
32100000,78926253
32200000,79021120
32300000,79627062
32400000,79042655
32500000,79856033
32600000,79727996
32700000,80121443
32800000,80563846
32900000,81049727
33000000,81069340
33100000,81536913
33200000,81649256
33300000,81712725
33400000,82059490
33500000,83474026
33600000,82548467
33700000,83348110
33800000,83254431
33900000,83277583
34000000,83822615
34100000,83613940
34200000,83872839
34300000,85995174
34400000,85918996
34500000,85857667
34600000,86389941
34700000,87708199
34800000,85591899
34900000,86526863
35000000,86867103
35100000,86944121
