2500,0.195559
5000,0.487641
7500,0.769645
10000,1.06214
12500,1.40852
15000,1.6647
17500,1.95537
20000,2.27106
22500,2.57187
25000,2.88249
27500,3.18812
30000,3.50312
32500,3.82232
35000,4.15256
37500,4.47744
40000,4.79926
42500,5.08286
45000,5.44396
47500,5.79998
50000,6.06061
52500,6.35131
55000,6.68292
57500,6.98058
60000,7.30181
62500,7.61021
65000,7.91001
67500,8.22614
70000,8.63119
72500,8.77659
75000,9.11031
77500,9.41217
80000,9.74732
82500,10.0443
85000,10.3548
87500,10.6565
90000,10.9758
92500,11.2619
95000,11.5912
97500,11.842
