2500,0.771801
5000,0.178571
7500,0.2469
10000,0.287946
12500,0.338842
15000,0.39476
17500,0.442983
20000,0.491551
22500,0.609672
25000,0.589138
27500,0.651015
30000,0.722476
32500,0.798672
35000,0.871691
37500,0.944718
40000,1.00366
42500,1.07403
45000,1.28554
47500,1.20818
50000,1.27604
52500,1.34276
55000,1.41356
57500,1.48451
60000,1.56103
62500,1.63037
65000,1.7053
67500,1.77613
70000,1.85215
72500,2.17073
75000,2.01219
77500,2.34923
80000,2.16855
82500,2.24998
85000,2.32541
87500,2.40274
90000,2.50003
92500,2.58246
95000,2.665
97500,3.09105
